country,name,lat,lng
AD,Vila,42.53176,1.56654
AD,El Tarter,42.57952,1.65362
AD,Sant Julià de Lòria,42.46372,1.49129
AD,Santa Coloma,42.49454,1.49897
AD,Pas de la Casa,42.54277,1.73361
AD,Ordino,42.55623,1.53319
AD,les Escaldes,42.50729,1.53414
AD,Les Bons,42.53873,1.58649
AD,la Massana,42.54499,1.51483
AD,Encamp,42.53474,1.58014
AD,Canillo,42.5676,1.59756
AD,Arinsal,42.57205,1.48453
AD,Anyós,42.53465,1.5251
AD,Andorra la Vella,42.50779,1.52109
AD,Aixirivall,42.46245,1.50209
AE,Warīsān,25.16744,55.40708
AE,Umm Suqaym,25.15491,55.21015
AE,Umm Al Quwain City,25.56473,55.55517
AE,Ţarīf Kalbā,25.0695,56.33115
AE,Ar Rāshidīyah,25.22499,55.38947
AE,Ras Al Khaimah,25.78953,55.9432
AE,Muzayri‘,23.14355,53.7881
AE,Murbaḩ,25.27623,56.36256
AE,Maşfūţ,24.81089,56.10657
AE,Zayed City,23.65416,53.70522
AE,Khawr Fakkān,25.33132,56.34199
AE,Kalbā,25.0513,56.35422
AE,Jumayrā,25.20795,55.24969
AE,Al Jazīrah al Ḩamrā’,25.7091,55.80772
AE,Dubai,25.07725,55.30927
AE,Dibba Al-Fujairah,25.59246,56.26176
AE,Dibba Al-Hisn,25.61955,56.27291
AE,Dayrah,25.27143,55.30207
AE,Sharjah,25.3342,55.41221
AE,Ash Sha‘m,26.0279,56.08352
AE,Ar Ruways,24.11028,52.73056
AE,Ar Rams,25.87658,56.01862
AE,Al Manāmah,25.3299,56.02188
AE,Al Ḩamrīyah,25.47819,55.53377
AE,Ḩattā,24.80073,56.12726
AE,Fujairah,25.11641,56.34141
AE,Al Ain City,24.19167,55.76056
AE,Ajman,25.40177,55.47878
AE,Adh Dhayd,25.28812,55.88157
AE,Abu Dhabi,24.45118,54.39696
AE,Abū Hayl,25.28413,55.33153
AE,As Saţwah,25.22192,55.27459
AE,Margham,24.89952,55.62545
AE,Abū Mūsá,25.86698,55.02363
AE,Nadd al Ḩumr,25.20131,55.38388
AE,Al Lusaylī,24.93138,55.47531
AE,Suwayḩān,24.46235,55.33715
AE,Al Ḩamīdīyah,25.40001,55.52925
AE,Al Waheda,25.29173,55.33822
AE,Al Twar First,25.27148,55.36165
AE,AL Twar Second,25.26309,55.38028
AE,Al Qusais Second,25.27148,55.38603
AE,Al Karama,25.24004,55.30106
AE,Al Hudaiba,25.24151,55.27805
AE,Al Wasl,25.19881,55.25565
AE,Knowledge Village,25.10223,55.16433
AE,The Palm Jumeirah,25.11607,55.13506
AE,Za'abeel,25.22536,55.305
AE,Oud Metha,25.23685,55.31419
AE,Bur Dubai,25.26038,55.29891
AE,Khalifah A City,24.42588,54.605
AE,Shakhbout City,24.36727,54.63721
AE,Mirdif,25.22443,55.41412
AE,Hawr al ‘Anz,25.27744,55.33675
AE,Mankhūl,25.24612,55.29222
AE,Būr Sa‘īd,25.261,55.33016
AE,Nāyf,25.27139,55.30323
AE,Al Murar al Qadīm,25.27576,55.30738
AE,Ar Riqqah,25.26797,55.31272
AE,Al Warqaa,25.19272,55.42013
AE,International City,25.16383,55.40987
AE,Dubai Marina,25.08525,55.14646
AE,Dubai Sports City,25.03878,55.21725
AE,Dubai Internet City,25.09538,55.16171
AE,Al Sufouh,25.12015,55.18285
AE,Al Safa,25.17047,55.23336
AE,Ar Rumaylah,25.40338,55.4334
AE,Mushayrif,25.40977,55.47106
AE,Al Jurf,25.41814,55.50791
AE,Al Majaz,25.32354,55.38774
AE,As Saţwah Sharq,25.23796,55.28678
AE,Dubai Festival City,25.22177,55.35733
AE,Dubai International Financial Centre,25.2106,55.27787
AE,Downtown Dubai,25.19408,55.2781
AE,Dubai Investments Park,25.00827,55.15682
AE,Jebel Ali,25.00255,55.10811
AE,Bani Yas City,24.30978,54.62944
AE,Musaffah,24.35893,54.48267
AE,Al Shamkhah City,24.39268,54.70779
AE,Reef Al Fujairah City,25.14479,56.24764
AE,Al Wiqan,23.75355,55.32739
AE,Al Faqaa,24.71242,55.67048
AE,Sha'biyyat Al Hiyar,24.58242,55.7467
AE,Sha'biyyat Milе̄hah,25.13518,55.8843
AE,Umm Al Sheif,25.13227,55.20567
AE,Al Bada'a,25.22462,55.26888
AE,Al Muteena,25.27375,55.32265
AE,Al Mizhar First,25.24805,55.44128
AE,Al Mizhar Second,25.24332,55.4619
AE,Dubai Silicon Oasis,25.11985,55.38718
AE,Dubai Motor City,25.04593,55.24102
AE,DAMAC Hills,25.02924,55.25277
AE,Al Furjan,25.02651,55.14565
AE,Business Bay,25.18544,55.26969
AE,Al Qusais 1,25.27925,55.36995
AE,Al Twar 3,25.25159,55.39408
AE,Al Khabaisi,25.26628,55.33379
AE,Al Khawaneej 1,25.24882,55.48545
AE,Halwan,25.34586,55.42165
AE,Al Sajaah,25.31532,55.63211
AE,Lahbab,25.03763,55.59135
AE,Al Madam,24.97355,55.77781
AE,Al Raafah,25.55073,55.68619
AE,Mohammed Bin Zayed City,24.34794,54.55368
AE,Masdar City,24.43208,54.61582
AF,Zōr Kōṯ,33.54149,69.73446
AF,Wulêswālī Bihsūd,34.3436,67.90567
AF,Kuhsān,34.65389,61.19778
AF,Lāsh,35.3782,64.77457
AF,Tukzār,35.94831,66.42132
AF,Bati,34.24348,70.72855
AF,Mīray,33.32462,68.44068
AF,Āq Kupruk,36.08352,66.84029
AF,Zurmat,33.43778,69.02774
AF,Zaybāk,36.52947,71.3441
AF,Zīārat-e Shāh Maqşūd,31.9848,65.4736
AF,Zindah Jān,34.34264,61.74675
AF,Zarghūn Shahr,32.84734,68.44573
AF,Zaṟah Sharan,33.14641,68.79213
AF,Zaranj,30.95962,61.86037
AF,Zamtō Kêlay,32.3726,66.17708
AF,Yangī Qal‘ah,37.46572,69.61131
AF,Bāzār-e Yakāwlang,34.73525,66.97379
AF,Yaḩyá Khēl,32.93742,68.64622
AF,Wāshēr,32.25122,63.85553
AF,Tōrmay,33.68847,68.40205
AF,Tūlak,33.97509,63.72868
AF,Tītān,33.69032,63.86361
AF,Tīr Pul,34.59431,61.26895
AF,Taywarah,33.52118,64.42116
AF,Bāzār-e Tashkān,36.88168,70.27674
AF,Tarinkot,32.62998,65.87806
AF,Taloqan,36.73605,69.53451
AF,Tagāw-Bāy,35.69941,66.06164
AF,Tagāb,34.85501,69.64917
AF,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,32.24139,62.94936
AF,Spīn Bōldak,31.00575,66.40001
AF,Spērah,33.20204,69.5152
AF,Sōzmah Qal‘ah,36.09916,66.20823
AF,Siyāhgird,35.00553,68.85578
AF,S̲h̲ēwah,34.57169,70.58859
